iter	Passed	Remaining
194	14131	108996
195	14202	108911
196	14295	108993
197	14374	108973
198	14410	108625
199	14495	108645
200	14571	108595
201	14654	108603
202	14726	108527
203	14775	108283
204	14843	108174
205	14913	108087
206	14992	108062
207	15070	108029
208	15144	107968
209	15215	107882
210	15291	107836
211	15355	107707
212	15425	107617
213	15498	107544
214	15576	107513
215	15663	107544
216	15743	107516
217	15823	107497
218	15893	107409
219	15968	107353
220	16042	107287
221	16112	107201
222	16190	107165
223	16261	107077
224	16331	106991
225	16401	106900
226	16469	106799
227	16549	106771
228	16618	106680
229	16689	106597
230	16756	106484
231	16827	106404
232	16894	106294
233	16962	106198
234	17028	106083
235	17099	106003
236	17173	105940
237	17262	105968
238	17388	106219
239	17468	106192
240	17506	105913
241	17571	105794
242	17638	105686
243	17705	105581
244	17773	105481
245	17851	105437
246	17921	105353
247	17988	105248
248	18058	105160
249	18127	105064
250	18194	104960
251	18261	104857
252	18331	104769
253	18399	104673
254	18469	104589
255	18539	104501
256	18607	104407
257	18689	104385
258	18763	104324
259	18829	104214
260	18898	104124
261	18967	104029
262	19034	103930
263	19106	103856
264	19178	103783
265	19251	103713
266	19333	103691
267	19410	103642
268	19482	103567
269	19558	103515
270	19634	103461
271	19675	103223
272	19747	103150
273	19816	103058
274	19882	102952
275	19948	102852
276	20014	102748
277	20084	102663
278	20150	102555
279	20220	102476
280	20251	102196
281	20323	102119
282	20394	102046
283	20464	101963
284	20536	101891
285	20582	101688
286	20655	101620
287	20725	101542
288	20771	101340
289	20843	101269
290	20915	101197
291	20987	101127
292	21055	101035
293	21124	100951
294	21192	100861
295	21256	100751
296	21325	100666
297	21390	100561
298	21459	100479
299	21566	100572
300	21659	100597
301	21741	100571
302	21840	100623
303	21928	100624
304	22007	100584
305	22090	100560
306	22178	100561
307	22271	100583
308	22343	100511
309	22413	100428
310	22487	100360
311	22557	100279
312	22629	100205
313	22655	99928
314	22728	99860
315	22799	99782
316	22868	99698
317	22939	99620
318	23006	99526
319	23086	99490
320	23155	99403
321	23225	99320
322	23295	99240
323	23363	99152
324	23431	99062
325	23502	98982
326	23569	98892
327	23639	98808
328	23706	98716
329	23775	98631
330	23843	98543
331	23908	98441
332	23923	98134
333	23992	98053
334	24070	98007
335	24143	97939
336	24209	97845
337	24279	97764
338	24350	97688
339	24418	97602
340	24487	97518
341	24554	97426
342	24622	97341
343	24693	97266
344	24768	97206
345	24842	97144
346	24911	97059
347	24985	96998
348	25057	96926
349	25125	96839
350	25191	96745
351	25261	96667
352	25297	96461
353	25329	96236
354	25399	96160
355	25467	96075
356	25502	95868
357	25582	95825
358	25651	95747
359	25720	95666
360	25785	95568
361	25848	95469
362	25917	95387
363	25990	95323
364	26037	95161
365	26106	95081
366	26179	95017
367	26254	94960
368	26334	94918
369	26401	94833
370	26477	94777
371	26553	94722
372	26622	94643
373	26691	94562
374	26760	94483
375	26832	94413
376	26899	94326
377	26969	94250
378	27035	94162
379	27101	94072
380	27131	93856
381	27175	93691
382	27248	93627
383	27322	93566
384	27389	93480
385	27455	93391
386	27569	93466
387	27672	93500
388	27767	93510
389	27844	93457
390	27921	93404
391	27991	93328
392	28025	93134
393	28100	93074
394	28166	92983
395	28233	92899
396	28304	92825
397	28373	92748
398	28441	92665
399	28515	92604
400	28597	92568
401	28667	92493
402	28739	92423
403	28808	92345
404	28881	92279
405	28949	92196
406	29021	92128
407	29088	92042
408	29156	91961
409	29223	91877
410	29298	91815
411	29364	91729
412	29428	91634
413	29496	91551
414	29565	91474
415	29635	91401
416	29648	91149
417	29713	91058
418	29779	90974
419	29844	90882
420	29908	90790
421	29973	90701
422	30045	90633
423	30112	90551
424	30171	90443
425	30240	90365
426	30321	90324
427	30390	90249
428	30456	90163
429	30524	90082
430	30597	90017
431	30627	89827
432	30697	89751
433	30772	89694
434	30843	89624
435	30911	89545
436	30985	89481
437	31057	89413
438	31130	89348
439	31199	89272
440	31268	89197
441	31346	89145
442	31418	89077
443	31485	88997
444	31553	88916
445	31624	88847
446	31695	88774
447	31763	88697
448	31830	88613
449	31895	88526
450	31968	88462
451	32043	88403
452	32111	88324
453	32182	88253
454	32249	88171
455	32318	88095
456	32382	88007
457	32449	87926
458	32520	87854
459	32594	87792
460	32666	87725
461	32740	87662
462	32820	87614
463	32895	87557
464	32972	87501
465	33051	87451
466	33117	87368
467	33194	87312
468	33273	87261
469	33356	87222
470	33438	87181
471	33515	87126
472	33592	87070
473	33672	87022
474	33749	86967
475	33815	86882
476	33884	86806
477	33955	86736
478	34028	86670
479	34098	86596
480	34172	86532
481	34246	86469
482	34321	86407
483	34337	86198
484	34413	86140
485	34482	86065
486	34556	86001
487	34629	85935
488	34699	85861
489	34774	85800
490	34842	85721
491	34911	85646
492	34979	85567
493	35051	85499
494	35118	85420
495	35195	85363
496	35275	85314
497	35348	85249
498	35417	85173
499	35463	85040
500	35531	84962
501	35600	84888
502	35668	84809
503	35733	84726
504	35799	84643
505	35871	84575
506	35938	84494
507	36003	84410
508	36070	84329
509	36134	84243
510	36219	84206
511	36290	84134
512	36355	84049
513	36417	83959
514	36487	83886
515	36514	83713
516	36582	83637
517	36648	83555
518	36713	83471
519	36780	83392
520	36847	83313
521	36918	83243
522	36989	83172
523	37062	83107
524	37130	83030
525	37200	82959
526	37279	82907
527	37354	82844
528	37431	82787
529	37503	82719
530	37571	82642
531	37641	82571
532	37711	82498
533	37776	82416
534	37843	82337
535	37918	82274
536	37960	82141
537	38036	82081
538	38101	81999
539	38170	81925
540	38239	81850
541	38303	81765
542	38371	81689
543	38436	81607
544	38504	81529
545	38569	81448
546	38637	81372
547	38709	81303
548	38778	81229
549	38843	81147
550	38907	81064
551	38980	80996
552	39053	80931
553	39121	80856
554	39190	80781
555	39258	80706
556	39323	80624
557	39391	80548
558	39460	80474
559	39529	80401
560	39599	80328
561	39678	80274
562	39754	80215
563	39771	80036
564	39828	79939
565	39895	79862
566	39963	79785
567	40025	79699
568	40092	79622
569	40157	79540
570	40225	79464
571	40296	79395
572	40364	79320
573	40433	79247
574	40500	79169
575	40565	79088
576	40632	79011
577	40703	78942
578	40778	78880
579	40850	78813
580	40918	78738
581	40985	78661
582	41054	78588
583	41118	78505
584	41185	78429
585	41256	78358
586	41321	78279
587	41392	78208
588	41457	78129
589	41524	78052
590	41592	77977
591	41657	77896
592	41731	77832
593	41806	77771
594	41828	77611
595	41901	77545
596	41983	77497
597	42053	77426
598	42125	77358
599	42196	77290
600	42262	77211
601	42333	77142
602	42405	77075
603	42474	77002
604	42541	76926
605	42607	76848
606	42673	76769
607	42750	76710
608	42816	76633
609	42845	76489
610	42915	76418
611	42987	76351
612	43078	76318
613	43181	76306
614	43250	76233
615	43320	76162
616	43356	76031
617	43423	75955
618	43489	75877
619	43548	75788
620	43616	75714
621	43680	75632
622	43744	75553
623	43810	75474
624	43875	75396
625	43939	75315
626	44004	75235
627	44075	75166
628	44165	75129
629	44244	75074
630	44327	75026
631	44407	74972
632	44485	74916
633	44558	74849
634	44629	74780
635	44709	74726
636	44800	74690
637	44869	74618
638	44938	74545
639	45000	74462
640	45070	74390
641	45138	74316
642	45200	74233
643	45268	74158
644	45335	74083
645	45401	74005
646	45475	73940
647	45544	73869
648	45617	73802
649	45681	73723
650	45748	73647
651	45813	73569
652	45878	73490
653	45908	73354
654	45971	73274
655	46045	73209
656	46136	73171
657	46203	73096
658	46278	73034
659	46365	72990
660	46463	72964
661	46557	72930
662	46655	72902
663	46734	72846
664	46810	72784
665	46883	72719
666	46955	72651
667	47027	72582
668	47098	72513
669	47172	72448
670	47243	72379
671	47314	72309
672	47386	72242
673	47463	72180
674	47536	72114
675	47606	72043
676	47680	71977
677	47745	71899
678	47812	71823
679	47879	71748
680	47947	71675
681	48010	71592
682	48077	71518
683	48135	71429
684	48186	71330
685	48262	71267
686	48332	71196
687	48398	71120
688	48464	71044
689	48532	70970
690	48597	70892
691	48672	70828
692	48746	70763
693	48816	70692
694	48889	70626
695	48954	70547
696	49020	70471
697	49090	70400
698	49156	70324
699	49222	70247
700	49278	70156
701	49348	70085
702	49414	70009
703	49441	69878
704	49515	69813
705	49582	69738
706	49646	69659
707	49711	69581
708	49779	69509
709	49851	69440
710	49918	69366
711	49986	69293
712	50056	69223
713	50123	69147
714	50156	69026
715	50227	68957
716	50298	68888
717	50343	68783
718	50411	68711
719	50484	68644
720	50553	68573
721	50619	68497
722	50687	68424
723	50706	68285
724	50781	68222
725	50853	68154
726	50930	68094
727	51003	68028
728	51071	67955
729	51144	67889
730	51216	67821
731	51284	67748
732	51355	67679
733	51435	67623
734	51482	67522
735	51564	67468
736	51630	67392
737	51700	67322
738	51764	67244
739	51819	67155
740	51888	67083
741	51957	67012
742	52024	66938
743	52050	66812
744	52117	66738
745	52181	66661
746	52247	66586
747	52321	66521
748	52394	66454
749	52474	66397
750	52548	66332
751	52617	66261
752	52688	66193
753	52755	66119
754	52827	66051
755	52893	65977
756	52966	65910
757	53040	65845
758	53121	65788
759	53193	65722
760	53264	65653
761	53336	65586
762	53411	65521
763	53481	65451
764	53557	65389
765	53627	65319
766	53661	65205
767	53732	65136
768	53799	65063
769	53864	64987
770	53934	64917
771	54000	64842
772	54017	64709
773	54087	64639
774	54157	64569
775	54227	64500
776	54298	64431
777	54367	64360
778	54441	64295
779	54508	64221
780	54581	64155
781	54649	64083
782	54720	64014
783	54786	63940
784	54864	63880
785	54930	63806
786	55000	63735
787	55092	63692
788	55166	63626
789	55231	63551
790	55296	63475
791	55368	63407
792	55443	63344
793	55515	63275
794	55582	63203
795	55650	63130
796	55721	63062
797	55801	63003
798	55886	62950
799	55967	62893
800	56048	62836
801	56142	62792
802	56226	62738
803	56263	62632
804	56337	62566
805	56418	62507
806	56504	62456
807	56584	62397
808	56670	62344
809	56755	62291
810	56874	62274
811	56978	62241
812	57030	62151
813	57120	62102
814	57203	62046
815	57273	61975
816	57338	61900
817	57411	61833
818	57478	61759
819	57552	61693
820	57632	61633
821	57703	61564
822	57774	61494
823	57841	61421
824	57912	61352
825	57985	61284
826	58056	61215
827	58122	61140
828	58195	61073
829	58281	61019
830	58359	60957
831	58435	60894
832	58510	60828
833	58582	60759
834	58665	60702
835	58741	60638
836	58817	60574
837	58888	60505
838	58964	60440
839	59045	60381
840	59129	60324
841	59208	60263
842	59292	60206
843	59382	60156
844	59471	60104
845	59546	60039
846	59620	59972
847	59696	59907
848	59783	59853
849	59882	59812
850	59963	59751
851	60039	59687
852	60110	59616
853	60181	59547
854	60248	59472
855	60321	59405
856	60403	59346
857	60472	59274
858	60544	59205
859	60616	59136
860	60689	59068
861	60758	58996
862	60832	58928
863	60903	58859
864	60972	58787
865	61043	58716
866	61115	58648
867	61183	58575
868	61257	58508
869	61325	58435
870	61400	58369
871	61467	58295
872	61539	58226
873	61608	58154
874	61679	58084
875	61750	58014
876	61821	57944
877	61895	57877
878	61965	57806
879	62036	57736
880	62119	57677
881	62194	57611
882	62218	57497
883	62291	57429
884	62372	57368
885	62445	57300
886	62516	57230
887	62586	57159
888	62657	57089
889	62727	57018
890	62801	56951
891	62880	56888
892	62952	56819
893	63023	56749
894	63096	56680
895	63166	56610
896	63236	56539
897	63305	56467
898	63376	56397
899	63453	56332
900	63522	56260
901	63593	56190
902	63663	56119
903	63736	56051
904	63804	55978
905	63877	55910
906	63948	55840
907	64017	55768
908	64091	55700
909	64165	55633
910	64241	55567
911	64320	55504
912	64401	55443
913	64479	55379
914	64553	55311
915	64633	55249
916	64705	55179
917	64776	55109
918	64846	55038
919	64920	54970
920	64993	54901
921	65059	54828
922	65132	54759
923	65200	54686
924	65276	54620
925	65349	54551
926	65419	54481
927	65488	54408
928	65562	54341
929	65635	54273
930	65703	54199
931	65780	54135
932	65853	54065
933	65925	53996
934	65994	53925
935	66069	53857
936	66137	53785
937	66210	53716
938	66281	53645
939	66354	53577
940	66424	53506
941	66499	53439
942	66579	53376
943	66653	53309
944	66721	53236
945	66797	53169
946	66866	53097
947	66939	53029
948	67014	52962
949	67084	52890
950	67154	52819
951	67226	52749
952	67298	52681
953	67370	52610
954	67439	52538
955	67514	52472
956	67592	52407
957	67659	52333
958	67732	52264
959	67803	52194
960	67875	52125
961	67949	52056
962	68026	51991
963	68101	51923
964	68172	51853
965	68246	51785
966	68320	51716
967	68392	51647
968	68464	51578
969	68536	51508
970	68604	51435
971	68679	51368
972	68760	51305
973	68838	51240
974	68913	51172
975	68986	51103
976	69055	51032
977	69129	50963
978	69194	50888
979	69263	50816
980	69337	50748
981	69409	50678
982	69477	50605
983	69549	50536
984	69620	50465
985	69692	50396
986	69763	50325
987	69836	50256
988	69910	50188
989	69976	50114
990	70048	50044
991	70116	49972
992	70199	49909
993	70267	49837
994	70338	49767
995	70411	49697
996	70487	49631
997	70559	49561
998	70628	49489
999	70695	49415
1000	70765	49344
1001	70837	49274
1002	70912	49207
1003	70991	49142
1004	71069	49076
1005	71140	49006
1006	71217	48940
1007	71289	48870
1008	71357	48797
1009	71426	48725
1010	71500	48657
1011	71570	48585
1012	71645	48518
1013	71718	48448
1014	71786	48376
1015	71853	48303
1016	71927	48234
1017	71998	48163
1018	72074	48096
1019	72142	48024
1020	72214	47954
1021	72284	47883
1022	72359	47815
1023	72431	47745
1024	72501	47674
1025	72570	47602
1026	72638	47529
1027	72711	47460
1028	72784	47390
1029	72855	47320
1030	72923	47248
1031	72991	47175
1032	73058	47102
1033	73129	47032
1034	73206	46965
1035	73284	46899
1036	73358	46830
1037	73430	46760
1038	73502	46690
1039	73569	46617
1040	73644	46549
1041	73718	46480
1042	73787	46409
1043	73858	46338
1044	73930	46268
1045	73998	46196
1046	74067	46123
1047	74139	46054
1048	74210	45983
1049	74282	45913
1050	74353	45842
1051	74428	45774
1052	74497	45702
1053	74569	45632
1054	74638	45561
1055	74708	45489
1056	74777	45418
1057	74849	45348
1058	74923	45279
1059	74991	45206
1060	75063	45137
1061	75139	45069
1062	75213	45000
1063	75284	44930
1064	75353	44858
1065	75415	44782
1066	75496	44717
1067	75573	44650
1068	75644	44580
1069	75715	44509
1070	75785	44438
1071	75861	44370
1072	75938	44303
1073	76011	44233
1074	76081	44162
1075	76154	44093
1076	76225	44022
1077	76298	43953
1078	76370	43882
1079	76446	43815
1080	76516	43743
1081	76584	43671
1082	76653	43599
1083	76726	43530
1084	76803	43463
1085	76880	43395
1086	76959	43329
1087	77058	43274
1088	77165	43223
1089	77251	43161
1090	77321	43090
1091	77395	43020
1092	77466	42950
1093	77537	42879
1094	77611	42810
1095	77692	42745
1096	77774	42680
1097	77850	42612
1098	77929	42545
1099	77999	42474
1100	78069	42402
1101	78137	42330
1102	78208	42259
1103	78282	42190
1104	78350	42117
1105	78422	42047
1106	78487	41973
1107	78562	41904
1108	78632	41833
1109	78701	41761
1110	78772	41690
1111	78848	41622
1112	78924	41554
1113	79004	41487
1114	79073	41415
1115	79142	41344
1116	79218	41275
1117	79293	41207
1118	79369	41138
1119	79445	41070
1120	79520	41001
1121	79594	40932
1122	79672	40865
1123	79745	40795
1124	79815	40723
1125	79889	40654
1126	79963	40584
1127	80036	40515
1128	80109	40445
1129	80185	40376
1130	80261	40307
1131	80329	40235
1132	80397	40163
1133	80465	40090
1134	80536	40020
1135	80615	39953
1136	80682	39880
1137	80750	39807
1138	80821	39736
1139	80892	39665
1140	80963	39594
1141	81030	39522
1142	81104	39452
1143	81172	39380
1144	81251	39312
1145	81323	39242
1146	81394	39171
1147	81464	39100
1148	81536	39029
1149	81605	38957
1150	81678	38887
1151	81755	38819
1152	81822	38746
1153	81893	38675
1154	81965	38605
1155	82034	38533
1156	82102	38461
1157	82185	38395
1158	82266	38329
1159	82332	38256
1160	82402	38184
1161	82477	38115
1162	82546	38043
1163	82615	37972
1164	82692	37903
1165	82758	37830
1166	82825	37757
1167	82897	37686
1168	82970	37617
1169	83043	37547
1170	83117	37477
1171	83189	37406
1172	83261	37336
1173	83332	37265
1174	83401	37193
1175	83472	37122
1176	83552	37055
1177	83622	36984
1178	83694	36913
1179	83763	36841
1180	83836	36771
1181	83907	36700
1182	83980	36630
1183	84048	36558
1184	84117	36486
1185	84191	36416
1186	84261	36345
1187	84337	36276
1188	84419	36210
1189	84494	36140
1190	84562	36068
1191	84634	35998
1192	84704	35926
1193	84784	35859
1194	84854	35788
1195	84925	35716
1196	84993	35644
1197	85061	35572
1198	85133	35502
1199	85209	35433
1200	85288	35365
1201	85371	35298
1202	85444	35229
1203	85518	35159
1204	85590	35088
1205	85666	35019
1206	85737	34948
1207	85810	34878
1208	85882	34807
1209	85954	34737
1210	86029	34667
1211	86099	34596
1212	86170	34524
1213	86248	34456
1214	86317	34384
1215	86392	34315
1216	86462	34243
1217	86533	34173
1218	86611	34104
1219	86692	34037
1220	86768	33968
1221	86839	33897
1222	86913	33827
1223	86991	33759
1224	87064	33688
1225	87138	33618
1226	87211	33548
1227	87289	33479
1228	87366	33411
1229	87437	33339
1230	87510	33269
1231	87580	33198
1232	87649	33126
1233	87722	33055
1234	87790	32983
1235	87862	32913
1236	87941	32844
1237	88020	32776
1238	88089	32704
1239	88165	32635
1240	88236	32564
1241	88306	32492
1242	88376	32421
1243	88444	32349
1244	88512	32276
1245	88591	32208
1246	88659	32136
1247	88727	32064
1248	88800	31993
1249	88880	31925
1250	88955	31856
1251	89028	31785
1252	89103	31715
1253	89179	31646
1254	89265	31580
1255	89334	31508
1256	89403	31436
1257	89477	31366
1258	89548	31295
1259	89624	31226
1260	89699	31156
1261	89775	31087
1262	89847	31016
1263	89919	30945
1264	89991	30874
1265	90065	30804
1266	90142	30735
1267	90213	30664
1268	90282	30592
1269	90358	30522
1270	90432	30452
1271	90501	30380
1272	90575	30310
1273	90651	30240
1274	90719	30168
1275	90793	30098
1276	90865	30027
1277	90933	29955
1278	91006	29884
1279	91077	29813
1280	91161	29746
1281	91241	29678
1282	91313	29607
1283	91388	29537
1284	91463	29467
1285	91533	29396
1286	91603	29324
1287	91674	29253
1288	91747	29182
1289	91823	29113
1290	91896	29042
1291	91971	28972
1292	92049	28903
1293	92122	28832
1294	92202	28764
1295	92273	28692
1296	92346	28622
1297	92420	28551
1298	92493	28481
1299	92563	28409
1300	92638	28339
1301	92707	28267
1302	92779	28196
1303	92853	28126
1304	92922	28054
1305	92992	27983
1306	93071	27914
1307	93146	27844
1308	93223	27774
1309	93303	27706
1310	93388	27639
1311	93472	27571
1312	93538	27498
1313	93610	27427
1314	93687	27358
1315	93757	27286
1316	93830	27215
1317	93907	27146
1318	93982	27076
1319	94052	27004
1320	94125	26933
1321	94202	26863
1322	94280	26794
1323	94363	26726
1324	94439	26656
1325	94515	26586
1326	94595	26518
1327	94682	26451
1328	94760	26381
1329	94847	26314
1330	94924	26245
1331	94999	26174
1332	95074	26104
1333	95152	26035
1334	95223	25963
1335	95292	25891
1336	95365	25820
1337	95435	25749
1338	95504	25677
1339	95587	25608
1340	95669	25540
1341	95743	25469
1342	95819	25399
1343	95890	25328
1344	95960	25256
1345	96030	25184
1346	96101	25113
1347	96173	25042
1348	96242	24970
1349	96311	24898
1350	96384	24827
1351	96459	24756
1352	96528	24685
1353	96606	24615
1354	96692	24547
1355	96790	24483
1356	96877	24415
1357	96953	24345
1358	97022	24273
1359	97093	24202
1360	97169	24131
1361	97244	24061
1362	97314	23989
1363	97392	23919
1364	97471	23850
1365	97549	23780
1366	97636	23712
1367	97710	23642
1368	97806	23576
1369	97916	23514
1370	97987	23442
1371	98060	23371
1372	98132	23300
1373	98206	23229
1374	98275	23157
1375	98346	23085
1376	98419	23014
1377	98488	22942
1378	98559	22871
1379	98629	22799
1380	98705	22728
1381	98778	22657
1382	98849	22586
1383	98924	22515
1384	98998	22444
1385	99065	22371
1386	99137	22300
1387	99212	22229
1388	99291	22160
1389	99361	22088
1390	99433	22016
1391	99504	21945
1392	99581	21875
1393	99654	21803
1394	99724	21732
1395	99795	21660
1396	99868	21589
1397	99938	21517
1398	100009	21445
1399	100082	21374
1400	100175	21307
1401	100251	21237
1402	100325	21166
1403	100397	21094
1404	100467	21023
1405	100540	20951
1406	100610	20880
1407	100683	20808
1408	100754	20737
1409	100826	20665
1410	100892	20593
1411	100958	20520
1412	101033	20449
1413	101103	20377
1414	101189	20309
1415	101263	20238
1416	101331	20166
1417	101401	20094
1418	101477	20023
1419	101552	19952
1420	101600	19876
1421	101669	19804
1422	101740	19733
1423	101810	19661
1424	101881	19589
1425	101955	19518
1426	102030	19448
1427	102103	19376
1428	102184	19307
1429	102254	19235
1430	102334	19165
1431	102410	19094
1432	102484	19023
1433	102562	18953
1434	102635	18882
1435	102711	18811
1436	102780	18739
1437	102854	18668
1438	102929	18597
1439	102997	18525
1440	103072	18454
1441	103145	18383
1442	103215	18311
1443	103285	18239
1444	103358	18168
1445	103426	18096
1446	103495	18024
1447	103567	17952
1448	103638	17880
1449	103709	17809
1450	103777	17737
1451	103846	17665
1452	103913	17593
1453	103987	17521
1454	104056	17449
1455	104124	17377
1456	104195	17306
1457	104269	17235
1458	104336	17163
1459	104403	17090
1460	104474	17019
1461	104555	16949
1462	104636	16879
1463	104707	16807
1464	104786	16737
1465	104854	16665
1466	104924	16593
1467	104994	16521
1468	105069	16450
1469	105136	16378
1470	105205	16306
1471	105284	16236
1472	105360	16165
1473	105427	16093
1474	105497	16021
1475	105569	15949
1476	105633	15877
1477	105726	15808
1478	105811	15739
1479	105889	15668
1480	105968	15598
1481	106041	15526
1482	106122	15456
1483	106201	15386
1484	106282	15316
1485	106366	15246
1486	106457	15177
1487	106536	15106
1488	106608	15035
1489	106690	14965
1490	106778	14895
1491	106866	14826
1492	106945	14756
1493	107026	14685
1494	107107	14615
1495	107191	14545
1496	107272	14474
1497	107347	14403
1498	107426	14333
1499	107504	14262
1500	107576	14190
1501	107659	14120
1502	107732	14048
1503	107812	13978
1504	107903	13909
1505	107985	13838
1506	108071	13768
1507	108160	13699
1508	108234	13627
1509	108315	13557
1510	108396	13486
1511	108472	13415
1512	108549	13344
1513	108635	13274
1514	108710	13203
1515	108788	13132
1516	108866	13061
1517	108947	12990
1518	109039	12921
1519	109132	12851
1520	109208	12780
1521	109288	12709
1522	109361	12637
1523	109442	12567
1524	109520	12496
1525	109594	12424
1526	109665	12352
1527	109732	12280
1528	109806	12208
1529	109881	12137
1530	109953	12065
1531	110030	11994
1532	110115	11923
1533	110190	11852
1534	110264	11780
1535	110335	11708
1536	110419	11638
1537	110496	11566
1538	110571	11495
1539	110646	11423
1540	110726	11352
1541	110815	11282
1542	110908	11213
1543	110991	11142
1544	111086	11072
1545	111171	11002
1546	111260	10931
1547	111351	10861
1548	111440	10791
1549	111525	10720
1550	111618	10650
1551	111704	10580
1552	111795	10510
1553	111876	10438
1554	111954	10367
1555	112029	10295
1556	112106	10224
1557	112184	10152
1558	112255	10080
1559	112335	10009
1560	112410	9937
1561	112482	9865
1562	112554	9793
1563	112635	9722
1564	112707	9650
1565	112788	9579
1566	112867	9507
1567	112941	9435
1568	113021	9364
1569	113102	9293
1570	113177	9221
1571	113256	9149
1572	113332	9078
1573	113407	9006
1574	113490	8935
1575	113579	8864
1576	113651	8792
1577	113733	8721
1578	113820	8650
1579	113901	8578
1580	113980	8507
1581	114059	8435
1582	114133	8363
1583	114207	8291
1584	114279	8219
1585	114351	8147
1586	114429	8075
1587	114500	8003
1588	114574	7931
1589	114649	7859
1590	114728	7787
1591	114804	7716
1592	114885	7644
1593	114962	7572
1594	115038	7500
1595	115118	7429
1596	115194	7357
1597	115275	7285
1598	115364	7214
1599	115441	7142
1600	115517	7071
1601	115599	6999
1602	115671	6927
1603	115762	6856
1604	115849	6784
1605	115923	6712
1606	116002	6641
1607	116078	6569
1608	116159	6497
1609	116237	6425
1610	116309	6353
1611	116388	6281
1612	116465	6209
1613	116540	6137
1614	116619	6065
1615	116690	5993
1616	116763	5921
1617	116843	5849
1618	116916	5777
1619	117000	5705
1620	117078	5633
1621	117154	5561
1622	117230	5489
1623	117309	5417
1624	117381	5345
1625	117455	5273
1626	117533	5201
1627	117607	5129
1628	117683	5056
1629	117761	4985
1630	117848	4913
1631	117927	4841
1632	118017	4769
1633	118104	4698
1634	118185	4626
1635	118262	4554
1636	118338	4481
1637	118407	4409
1638	118484	4337
1639	118556	4265
1640	118634	4193
1641	118717	4121
1642	118796	4049
1643	118877	3977
1644	118956	3904
1645	119035	3832
1646	119113	3760
1647	119188	3688
1648	119261	3616
1649	119340	3544
1650	119416	3471
1651	119498	3399
1652	119574	3327
1653	119659	3255
1654	119733	3183
1655	119808	3110
1656	119912	3039
1657	120026	2968
1658	120119	2896
1659	120194	2823
1660	120280	2751
1661	120363	2679
1662	120441	2607
1663	120518	2534
1664	120592	2462
